fecha,Norte,Centro,Sur,Occidente,Oriente
2020-04-18 00:00:00,14,164,19,43,17
2020-04-20 08:58:05,17,178,22,53,24
2020-04-21 08:45:09,18,193,23,53,29
2020-04-22 08:59:55,20,200,25,62,35
2020-04-23 08:59:00,25,214,27,76,42
2020-04-24 08:59:00,25,252,28,77,48
2020-04-25 08:59:00,26,284,32,79,52
2020-04-26 08:59:00,30,295,34,84,57
2020-04-27 08:59:00,32,302,34,89,73
2020-04-28 08:59:00,32,320,37,89,79
2020-04-29 08:59:00,38,339,38,89,81
2020-04-30 08:59:00,41,347,38,89,84
2020-05-02 08:59:00,45,403,44,93,103
2020-05-03 08:59:00,45,413,44,97,104
2020-05-04 08:59:00,46,434,47,97,106
2020-05-05 08:59:00,47,444,50,107,115
2020-05-06 08:59:00,48,467,54,112,117
2020-05-07 08:59:00,51,490,56,112,123
2020-05-08 08:59:00,58,532,68,114,128
2020-05-10 08:59:00,76,638,75,126,137
2020-05-11 08:59:00,87,676,78,128,142
2020-05-12 08:59:00,102,735,81,138,143
