pais,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala
ISO_3266_2,GT-AV,GT-BV,GT-CM,GT-CQ,GT-PR,GT-ES,GT-GU,GT-HU,GT-IZ,GT-JA,GT-JU,GT-PE,GT-QZ,GT-QC,GT-RE,GT-SA,GT-SM,GT-SR,GT-SO,GT-SU,GT-TO,GT-ZA
departamento,Alta Verapaz,Baja Verapaz,Chimaltenango,Chiquimula,El Progreso,Escuintla,Guatemala,Huehuetenango,Izabal,Jalapa,Jutiapa,Peten,Quetzaltenango,Quiche,Retalhuleu,Sacatepequez,San Marcos,Santa Rosa,Solola,Suchitepequez,Totonicapan,Zacapa
latitud,15.5942883,15.1255867,14.6589734,14.7924897,14.9388732,14.3009252,15.783471,15.320133,15.4976517,14.6325483,14.2744501,16.912033,14.8446068,15.4983808,14.5245485,14.5178379,14.9609782,14.1928003,14.7666085,14.4215982,14.9173402,14.9676218
longitud,-90.1494988,-90.3748354,-90.8245242,-89.5450458,-90.0746767,-90.7881835,-90.230759,-91.4700395,-88.864698,-89.9930052,-89.8785765,-90.2995785,-91.5231866,-90.9820668,-91.685788,-90.7152749,-91.8074586,-90.3748354,-91.1785016,-91.4048249,-91.3613923,-89.5356094
fecha,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,,,,,,,,,,,,,,,,,,,,,,
