pruebas_diario,,,pruebas
,2020-03-13,,0
,2020-03-14,,0
,2020-03-15,,0
,2020-03-16,,0
,2020-03-17,,0
,2020-03-18,,0
,2020-03-19,,0
,2020-03-20,,0
,2020-03-21,,0
,2020-03-22,,0
,2020-03-23,,0
,2020-03-24,,0
,2020-03-25,,0
,2020-03-26,,0
,2020-03-27,,0
,2020-03-28,,0
,2020-03-29,,0
,2020-03-30,,0
,2020-03-31,,0
,2020-04-01,,0
,2020-04-02,,0
,2020-04-03,,0
,2020-04-04,,0
,2020-04-05,,0
,2020-04-06,,0
,2020-04-07,,0
,2020-04-08,,0
,2020-04-09,,0
,2020-04-10,,0
,2020-04-11,,0
,2020-04-12,,0
,2020-04-13,,0
,2020-04-14,,0
,2020-04-15,,0
427,2020-04-16,,427
,2020-04-17,,427
284,2020-04-18,284 pruebas / 82 en proceso,711
,2020-04-19,,711
,2020-04-20,,711
,2020-04-21,,711
,2020-04-22,,711
411,2020-04-23,,1122
463,2020-04-24,,1585
,2020-04-25,,1585
,2020-04-26,,1585
492,2020-04-27,,2077
440,2020-04-28,,2517
,2020-04-29,,2517
,2020-04-30,,2517
552,2020-05-01,,3069
563,2020-05-02,,3632
519,2020-05-03,,4151
469,2020-05-04,,4620
,2020-05-05,,4620
451,2020-05-06,"451 pruebas, pendientes 175",5071
549,2020-05-07,549 pruebas realizadas pendientes 160,5620
598,2020-05-08,"598 pruebas realizadas, 249 pendientes",6218
815,2020-05-09,815 pruebas (615 corridas y 200 en espera),7033
699,2020-05-10,"699 pruebas, 268 en proceso para un total de 967",7732
718,2020-05-11,,8450
358,2020-05-12,358 pruebas (pendientes de procesar 480 para una total de 838),8808
529,2020-05-13,529 pruebas (368 pendientes de correr),9337
803,2020-05-14,"803 pruebas (310 por correrse, un total de 1,113)",10140
1022,2020-05-15,,11162
1233,2020-05-16,,12395
1397,2020-05-17,,13792
1214,2020-05-18,,15006
1303,2020-05-19,,16309
1189,2020-05-20,,17498
1484,2020-05-21,,18982
1852,2020-05-22,,20834
1753,2020-05-23,,22587
1844,2020-05-24,,24431
2366,2020-05-25,,26797
1899,2020-05-26,,28696
2125,2020-05-27,,30821
1127,2020-05-28,,31948
1321,2020-05-29,,33269
1341,2020-05-30,,34610
1740,2020-05-31,,36350
1637,2020-06-01,,37987
1591,2020-06-02,,39578
1457,2020-06-03,,41035
1624,2020-06-04,,42659
1573,2020-06-05,,44232
1596,2020-06-06,,45828
1630,2020-06-07,,47458
1740,2020-06-08,,49198
1694,2020-06-09,,50892
1583,2020-06-10,,52475
1638,2020-06-11,,54113
1682,2020-06-12,,55795
1593,2020-06-13,,57388
1461,2020-06-14,,58849
1721,2020-06-15,,60570
1658,2020-06-16,,62228
1522,2020-06-17,,63750
1544,2020-06-18,,65294
1549,2020-06-19,,66843
1407,2020-06-20,,68250
1195,2020-06-21,,69445
1274,2020-06-22,,70719
1090,2020-06-23,,71809
1544,2020-06-24,,73353
1628,2020-06-25,,74981
2119,2020-06-26,,77100
1614,2020-06-27,,78714
1133,2020-06-28,,79847
805,2020-06-29,,80652
1600,2020-06-30,,82252
2374,2020-07-01,,84626
2186,2020-07-02,,86812
2630,2020-07-03,,89442
