fecha,confirmados,recuperados,fallecidos,fuente
2020-03-01,0,0,0,
2020-03-02,0,0,0,
2020-03-03,0,0,0,
2020-03-04,0,0,0,
2020-03-05,0,0,0,
2020-03-06,0,0,0,
2020-03-07,0,0,0,
2020-03-08,0,0,0,
2020-03-09,0,0,0,
2020-03-10,0,0,0,
2020-03-11,0,0,0,
2020-03-12,0,0,0,
2020-03-13,1,0,0,
2020-03-14,0,0,0,
2020-03-15,1,0,1,
2020-03-16,4,0,0,
2020-03-17,1,0,0,
2020-03-18,1,0,0,
2020-03-19,1,0,0,
2020-03-20,4,0,0,
2020-03-21,4,0,0,
2020-03-22,2,0,0,
2020-03-23,1,0,0,
2020-03-24,1,4,0,
2020-03-25,3,1,0,
2020-03-26,1,0,0,
2020-03-27,7,0,0,
2020-03-28,2,5,0,https://web.archive.org/web/20200407150429/https://nomada.gt/pais/actualidad/liveblog-el-coronavirus-y-la-emergencia-sanitaria-fallece-primera-persona/
2020-03-29,2,0,0,
2020-03-30,1,0,0,
2020-03-31,1,0,0,
2020-04-01,2,0,0,
2020-04-02,7,0,0,
2020-04-03,3,0,0,
2020-04-04,11,0,1,https://web.archive.org/web/20200407150429/https://nomada.gt/pais/actualidad/liveblog-el-coronavirus-y-la-emergencia-sanitaria-fallece-primera-persona/
2020-04-05,9,0,1,
2020-04-06,4,2,0,
2020-04-07,3,0,0,https://web.archive.org/web/20200408060421/https://www.prensalibre.com/guatemala/comunitario/giammattei-confirma-otros-tres-casos-de-coronavirus-en-guatemala-y-cifra-sube-a-77/
